2026-07-22 00:34:37,149 | INFO | rlopt.IPMD | iter=4476/33909 | frames=660013056/5000085504 | r_step=0.0605 | ep_len=394.9900 | r_ep=24.7059 | pi_loss=-0.0065 | fps=91446.5407
2026-07-22 00:36:29,331 | INFO | rlopt.IPMD | iter=4544/33909 | frames=670040064/5000085504 | r_step=0.0604 | ep_len=350.7500 | r_ep=21.3371 | pi_loss=-0.0073 | fps=90859.0844
2026-07-22 00:38:19,271 | INFO | rlopt.IPMD | iter=4612/33909 | frames=680067072/5000085504 | r_step=0.0605 | ep_len=390.4800 | r_ep=24.3338 | pi_loss=-0.0063 | fps=91678.3248
2026-07-22 00:40:09,324 | INFO | rlopt.IPMD | iter=4680/33909 | frames=690094080/5000085504 | r_step=0.0605 | ep_len=369.8000 | r_ep=22.5025 | pi_loss=-0.0065 | fps=90701.1447
2026-07-22 00:41:59,873 | INFO | rlopt.IPMD | iter=4748/33909 | frames=700121088/5000085504 | r_step=0.0603 | ep_len=393.9200 | r_ep=23.5694 | pi_loss=-0.0071 | fps=90956.3305
2026-07-22 00:43:48,781 | INFO | rlopt.IPMD | iter=4815/33909 | frames=710000640/5000085504 | r_step=0.0606 | ep_len=390.0100 | r_ep=23.4173 | pi_loss=-0.0066 | fps=90927.9278
2026-07-22 00:45:38,935 | INFO | rlopt.IPMD | iter=4883/33909 | frames=720027648/5000085504 | r_step=0.0607 | ep_len=386.2300 | r_ep=23.3025 | pi_loss=-0.0065 | fps=91242.6100
2026-07-22 00:47:30,608 | INFO | rlopt.IPMD | iter=4951/33909 | frames=730054656/5000085504 | r_step=0.0605 | ep_len=361.8800 | r_ep=22.2433 | pi_loss=-0.0067 | fps=91365.0228
2026-07-22 00:49:20,611 | INFO | rlopt.IPMD | iter=5019/33909 | frames=740081664/5000085504 | r_step=0.0603 | ep_len=365.6900 | r_ep=22.0713 | pi_loss=-0.0079 | fps=91277.1331
2026-07-22 00:51:11,220 | INFO | rlopt.IPMD | iter=5087/33909 | frames=750108672/5000085504 | r_step=0.0605 | ep_len=368.9900 | r_ep=22.4123 | pi_loss=-0.0068 | fps=90455.2652
2026-07-22 00:53:01,702 | INFO | rlopt.IPMD | iter=5155/33909 | frames=760135680/5000085504 | r_step=0.0601 | ep_len=396.3600 | r_ep=23.9407 | pi_loss=-0.0076 | fps=91333.2305
2026-07-22 00:54:50,710 | INFO | rlopt.IPMD | iter=5222/33909 | frames=770015232/5000085504 | r_step=0.0599 | ep_len=346.4400 | r_ep=20.1972 | pi_loss=-0.0078 | fps=90730.2269
2026-07-22 00:56:40,905 | INFO | rlopt.IPMD | iter=5290/33909 | frames=780042240/5000085504 | r_step=0.0601 | ep_len=395.5900 | r_ep=24.2864 | pi_loss=-0.0071 | fps=91587.5811
2026-07-22 00:58:31,104 | INFO | rlopt.IPMD | iter=5358/33909 | frames=790069248/5000085504 | r_step=0.0599 | ep_len=419.4600 | r_ep=25.4322 | pi_loss=-0.0076 | fps=91185.2136
2026-07-22 01:00:23,340 | INFO | rlopt.IPMD | iter=5426/33909 | frames=800096256/5000085504 | r_step=0.0598 | ep_len=382.2000 | r_ep=22.8880 | pi_loss=-0.0078 | fps=90714.3155
2026-07-22 01:02:13,455 | INFO | rlopt.IPMD | iter=5494/33909 | frames=810123264/5000085504 | r_step=0.0598 | ep_len=381.3300 | r_ep=22.4558 | pi_loss=-0.0065 | fps=91784.2354
2026-07-22 01:04:01,507 | INFO | rlopt.IPMD | iter=5561/33909 | frames=820002816/5000085504 | r_step=0.0599 | ep_len=430.4300 | r_ep=26.0857 | pi_loss=-0.0069 | fps=91434.9754
2026-07-22 01:05:51,269 | INFO | rlopt.IPMD | iter=5629/33909 | frames=830029824/5000085504 | r_step=0.0602 | ep_len=397.8100 | r_ep=24.1504 | pi_loss=-0.0069 | fps=91878.7358
2026-07-22 01:07:40,680 | INFO | rlopt.IPMD | iter=5697/33909 | frames=840056832/5000085504 | r_step=0.0603 | ep_len=368.8600 | r_ep=22.3729 | pi_loss=-0.0062 | fps=91912.0780
2026-07-22 01:09:29,736 | INFO | rlopt.IPMD | iter=5765/33909 | frames=850083840/5000085504 | r_step=0.0602 | ep_len=381.1200 | r_ep=23.3637 | pi_loss=-0.0071 | fps=91992.4840
2026-07-22 01:11:20,292 | INFO | rlopt.IPMD | iter=5833/33909 | frames=860110848/5000085504 | r_step=0.0604 | ep_len=382.2400 | r_ep=22.8981 | pi_loss=-0.0074 | fps=92774.1258
2026-07-22 01:13:08,840 | INFO | rlopt.IPMD | iter=5901/33909 | frames=870137856/5000085504 | r_step=0.0602 | ep_len=387.7500 | r_ep=23.3055 | pi_loss=-0.0073 | fps=92546.8875
2026-07-22 01:14:55,562 | INFO | rlopt.IPMD | iter=5968/33909 | frames=880017408/5000085504 | r_step=0.0601 | ep_len=378.3600 | r_ep=22.6585 | pi_loss=-0.0075 | fps=92763.3628
2026-07-22 01:16:44,398 | INFO | rlopt.IPMD | iter=6036/33909 | frames=890044416/5000085504 | r_step=0.0603 | ep_len=373.4100 | r_ep=22.9628 | pi_loss=-0.0079 | fps=92477.0409
2026-07-22 01:18:33,442 | INFO | rlopt.IPMD | iter=6104/33909 | frames=900071424/5000085504 | r_step=0.0602 | ep_len=397.2200 | r_ep=24.2231 | pi_loss=-0.0074 | fps=92321.9656
2026-07-22 01:20:22,633 | INFO | rlopt.IPMD | iter=6172/33909 | frames=910098432/5000085504 | r_step=0.0600 | ep_len=404.6600 | r_ep=24.3851 | pi_loss=-0.0065 | fps=92446.8618
2026-07-22 01:22:12,142 | INFO | rlopt.IPMD | iter=6240/33909 | frames=920125440/5000085504 | r_step=0.0605 | ep_len=388.7200 | r_ep=23.6803 | pi_loss=-0.0071 | fps=91280.5944
2026-07-22 01:24:02,115 | INFO | rlopt.IPMD | iter=6307/33909 | frames=930004992/5000085504 | r_step=0.0604 | ep_len=385.0600 | r_ep=23.1291 | pi_loss=-0.0074 | fps=91190.9896
2026-07-22 01:25:51,923 | INFO | rlopt.IPMD | iter=6375/33909 | frames=940032000/5000085504 | r_step=0.0607 | ep_len=358.7300 | r_ep=21.9460 | pi_loss=-0.0072 | fps=91311.0285
2026-07-22 01:27:41,759 | INFO | rlopt.IPMD | iter=6443/33909 | frames=950059008/5000085504 | r_step=0.0602 | ep_len=403.1200 | r_ep=24.0635 | pi_loss=-0.0074 | fps=91330.3516
2026-07-22 01:29:31,344 | INFO | rlopt.IPMD | iter=6511/33909 | frames=960086016/5000085504 | r_step=0.0603 | ep_len=412.4200 | r_ep=24.6152 | pi_loss=-0.0069 | fps=91991.3909
2026-07-22 01:31:20,434 | INFO | rlopt.IPMD | iter=6579/33909 | frames=970113024/5000085504 | r_step=0.0603 | ep_len=384.2000 | r_ep=23.7669 | pi_loss=-0.0084 | fps=92051.7098
2026-07-22 01:33:09,714 | INFO | rlopt.IPMD | iter=6647/33909 | frames=980140032/5000085504 | r_step=0.0606 | ep_len=399.6200 | r_ep=23.4595 | pi_loss=-0.0075 | fps=91959.4184
2026-07-22 01:34:58,752 | INFO | rlopt.IPMD | iter=6714/33909 | frames=990019584/5000085504 | r_step=0.0611 | ep_len=398.5000 | r_ep=24.0970 | pi_loss=-0.0070 | fps=92262.3813
2026-07-22 01:36:47,493 | INFO | rlopt.IPMD | iter=6782/33909 | frames=1000046592/5000085504 | r_step=0.0608 | ep_len=415.8800 | r_ep=25.2818 | pi_loss=-0.0070 | fps=91999.2948
2026-07-22 01:38:37,069 | INFO | rlopt.IPMD | iter=6850/33909 | frames=1010073600/5000085504 | r_step=0.0612 | ep_len=394.2600 | r_ep=23.9673 | pi_loss=-0.0077 | fps=91870.4557
2026-07-22 01:40:26,771 | INFO | rlopt.IPMD | iter=6918/33909 | frames=1020100608/5000085504 | r_step=0.0613 | ep_len=394.9100 | r_ep=23.8855 | pi_loss=-0.0081 | fps=91807.5169
2026-07-22 01:42:15,522 | INFO | rlopt.IPMD | iter=6986/33909 | frames=1030127616/5000085504 | r_step=0.0614 | ep_len=425.0000 | r_ep=26.0590 | pi_loss=-0.0075 | fps=92246.6999
2026-07-22 01:44:03,833 | INFO | rlopt.IPMD | iter=7053/33909 | frames=1040007168/5000085504 | r_step=0.0614 | ep_len=398.1100 | r_ep=23.9325 | pi_loss=-0.0071 | fps=91404.5938
2026-07-22 01:45:53,723 | INFO | rlopt.IPMD | iter=7121/33909 | frames=1050034176/5000085504 | r_step=0.0610 | ep_len=398.4700 | r_ep=24.9940 | pi_loss=-0.0078 | fps=91508.3853
2026-07-22 01:47:44,883 | INFO | rlopt.IPMD | iter=7189/33909 | frames=1060061184/5000085504 | r_step=0.0613 | ep_len=407.8400 | r_ep=24.7382 | pi_loss=-0.0071 | fps=92141.2874
2026-07-22 01:49:33,921 | INFO | rlopt.IPMD | iter=7257/33909 | frames=1070088192/5000085504 | r_step=0.0614 | ep_len=404.9900 | r_ep=25.0549 | pi_loss=-0.0077 | fps=92147.3589
2026-07-22 01:51:23,109 | INFO | rlopt.IPMD | iter=7325/33909 | frames=1080115200/5000085504 | r_step=0.0612 | ep_len=399.1300 | r_ep=24.2686 | pi_loss=-0.0078 | fps=92185.3324
2026-07-22 01:53:12,182 | INFO | rlopt.IPMD | iter=7393/33909 | frames=1090142208/5000085504 | r_step=0.0615 | ep_len=395.5800 | r_ep=24.0734 | pi_loss=-0.0076 | fps=91800.2797
2026-07-22 01:54:59,851 | INFO | rlopt.IPMD | iter=7460/33909 | frames=1100021760/5000085504 | r_step=0.0616 | ep_len=427.4800 | r_ep=26.7333 | pi_loss=-0.0075 | fps=92108.1532
2026-07-22 01:56:48,940 | INFO | rlopt.IPMD | iter=7528/33909 | frames=1110048768/5000085504 | r_step=0.0614 | ep_len=397.0900 | r_ep=24.3188 | pi_loss=-0.0069 | fps=92210.0083
2026-07-22 01:58:39,847 | INFO | rlopt.IPMD | iter=7596/33909 | frames=1120075776/5000085504 | r_step=0.0616 | ep_len=418.8000 | r_ep=26.0298 | pi_loss=-0.0076 | fps=91953.7823
2026-07-22 02:00:29,168 | INFO | rlopt.IPMD | iter=7664/33909 | frames=1130102784/5000085504 | r_step=0.0616 | ep_len=378.6700 | r_ep=23.3476 | pi_loss=-0.0074 | fps=92276.7180
2026-07-22 02:02:18,360 | INFO | rlopt.IPMD | iter=7732/33909 | frames=1140129792/5000085504 | r_step=0.0620 | ep_len=384.2600 | r_ep=22.7936 | pi_loss=-0.0083 | fps=91428.3141
2026-07-22 02:04:06,314 | INFO | rlopt.IPMD | iter=7799/33909 | frames=1150009344/5000085504 | r_step=0.0619 | ep_len=393.1800 | r_ep=24.1604 | pi_loss=-0.0076 | fps=91612.5215
