2026-07-22 21:57:22,390 | INFO | rlopt.IPMD | iter=3917/23071 | frames=770113536/4535943168 | r_step=0.0566 | ep_len=293.1900 | r_ep=16.2985 | pi_loss=-0.0080 | fps=95959.6442
2026-07-22 21:59:08,175 | INFO | rlopt.IPMD | iter=3968/23071 | frames=780140544/4535943168 | r_step=0.0568 | ep_len=321.3800 | r_ep=17.8189 | pi_loss=-0.0080 | fps=95899.4245
2026-07-22 22:00:52,108 | INFO | rlopt.IPMD | iter=4019/23071 | frames=790167552/4535943168 | r_step=0.0570 | ep_len=293.9600 | r_ep=16.4917 | pi_loss=-0.0071 | fps=97110.7312
2026-07-22 22:02:36,088 | INFO | rlopt.IPMD | iter=4070/23071 | frames=800194560/4535943168 | r_step=0.0567 | ep_len=337.0200 | r_ep=19.3393 | pi_loss=-0.0078 | fps=96128.0149
2026-07-22 22:04:17,873 | INFO | rlopt.IPMD | iter=4120/23071 | frames=810024960/4535943168 | r_step=0.0566 | ep_len=289.9200 | r_ep=16.4565 | pi_loss=-0.0076 | fps=96677.0833
2026-07-22 22:06:02,431 | INFO | rlopt.IPMD | iter=4171/23071 | frames=820051968/4535943168 | r_step=0.0567 | ep_len=279.0400 | r_ep=15.7117 | pi_loss=-0.0079 | fps=95692.0762
2026-07-22 22:07:47,112 | INFO | rlopt.IPMD | iter=4222/23071 | frames=830078976/4535943168 | r_step=0.0568 | ep_len=304.4700 | r_ep=17.1747 | pi_loss=-0.0081 | fps=95948.8427
2026-07-22 22:09:31,937 | INFO | rlopt.IPMD | iter=4273/23071 | frames=840105984/4535943168 | r_step=0.0569 | ep_len=305.5200 | r_ep=17.3990 | pi_loss=-0.0079 | fps=95461.7312
2026-07-22 22:11:18,544 | INFO | rlopt.IPMD | iter=4324/23071 | frames=850132992/4535943168 | r_step=0.0571 | ep_len=312.1600 | r_ep=18.0519 | pi_loss=-0.0076 | fps=57434.5759
2026-07-22 22:13:03,983 | INFO | rlopt.IPMD | iter=4375/23071 | frames=860160000/4535943168 | r_step=0.0568 | ep_len=334.5100 | r_ep=19.2671 | pi_loss=-0.0078 | fps=94873.2851
2026-07-22 22:14:49,557 | INFO | rlopt.IPMD | iter=4426/23071 | frames=870187008/4535943168 | r_step=0.0570 | ep_len=321.0800 | r_ep=18.4796 | pi_loss=-0.0077 | fps=94661.0694
2026-07-22 22:16:32,847 | INFO | rlopt.IPMD | iter=4476/23071 | frames=880017408/4535943168 | r_step=0.0569 | ep_len=296.3000 | r_ep=16.9753 | pi_loss=-0.0079 | fps=95619.3258
2026-07-22 22:18:18,057 | INFO | rlopt.IPMD | iter=4527/23071 | frames=890044416/4535943168 | r_step=0.0573 | ep_len=329.5600 | r_ep=18.9181 | pi_loss=-0.0077 | fps=96026.8504
2026-07-22 22:20:02,881 | INFO | rlopt.IPMD | iter=4578/23071 | frames=900071424/4535943168 | r_step=0.0572 | ep_len=304.4500 | r_ep=17.6554 | pi_loss=-0.0078 | fps=95335.4476
2026-07-22 22:21:47,772 | INFO | rlopt.IPMD | iter=4629/23071 | frames=910098432/4535943168 | r_step=0.0574 | ep_len=311.2000 | r_ep=18.1284 | pi_loss=-0.0080 | fps=95717.1653
2026-07-22 22:23:33,998 | INFO | rlopt.IPMD | iter=4680/23071 | frames=920125440/4535943168 | r_step=0.0574 | ep_len=294.9600 | r_ep=16.8865 | pi_loss=-0.0074 | fps=95274.3733
2026-07-22 22:25:18,641 | INFO | rlopt.IPMD | iter=4731/23071 | frames=930152448/4535943168 | r_step=0.0578 | ep_len=316.9900 | r_ep=18.3155 | pi_loss=-0.0082 | fps=96516.7661
2026-07-22 22:27:02,586 | INFO | rlopt.IPMD | iter=4782/23071 | frames=940179456/4535943168 | r_step=0.0574 | ep_len=330.6800 | r_ep=18.7785 | pi_loss=-0.0077 | fps=97314.9637
2026-07-22 22:28:44,503 | INFO | rlopt.IPMD | iter=4832/23071 | frames=950009856/4535943168 | r_step=0.0578 | ep_len=301.4500 | r_ep=17.1609 | pi_loss=-0.0079 | fps=95303.0998
2026-07-22 22:30:29,276 | INFO | rlopt.IPMD | iter=4883/23071 | frames=960036864/4535943168 | r_step=0.0577 | ep_len=320.3900 | r_ep=18.3824 | pi_loss=-0.0084 | fps=95757.0068
2026-07-22 22:32:13,969 | INFO | rlopt.IPMD | iter=4934/23071 | frames=970063872/4535943168 | r_step=0.0579 | ep_len=320.9300 | r_ep=18.6656 | pi_loss=-0.0077 | fps=95983.6312
2026-07-22 22:33:58,480 | INFO | rlopt.IPMD | iter=4985/23071 | frames=980090880/4535943168 | r_step=0.0576 | ep_len=315.0000 | r_ep=18.4534 | pi_loss=-0.0081 | fps=96669.4870
