2026-07-22 00:13:57,580 | INFO | rlopt.IPMD | iter=3595/33909 | frames=530104320/5000085504 | r_step=0.0568 | ep_len=318.6300 | r_ep=18.3789 | pi_loss=-0.0069 | fps=89512.3546
2026-07-22 00:15:49,529 | INFO | rlopt.IPMD | iter=3663/33909 | frames=540131328/5000085504 | r_step=0.0572 | ep_len=296.5700 | r_ep=16.9310 | pi_loss=-0.0055 | fps=89745.4002
2026-07-22 00:17:39,441 | INFO | rlopt.IPMD | iter=3730/33909 | frames=550010880/5000085504 | r_step=0.0576 | ep_len=277.6400 | r_ep=15.8935 | pi_loss=-0.0059 | fps=90185.9536
2026-07-22 00:19:30,416 | INFO | rlopt.IPMD | iter=3798/33909 | frames=560037888/5000085504 | r_step=0.0574 | ep_len=310.9900 | r_ep=17.4079 | pi_loss=-0.0065 | fps=90511.2390
2026-07-22 00:21:21,559 | INFO | rlopt.IPMD | iter=3866/33909 | frames=570064896/5000085504 | r_step=0.0574 | ep_len=294.5100 | r_ep=17.0034 | pi_loss=-0.0065 | fps=90110.6608
2026-07-22 00:23:13,159 | INFO | rlopt.IPMD | iter=3934/33909 | frames=580091904/5000085504 | r_step=0.0574 | ep_len=284.8400 | r_ep=16.6171 | pi_loss=-0.0072 | fps=90303.0765
2026-07-22 00:25:05,805 | INFO | rlopt.IPMD | iter=4002/33909 | frames=590118912/5000085504 | r_step=0.0576 | ep_len=302.8100 | r_ep=17.1853 | pi_loss=-0.0064 | fps=90698.0717
2026-07-22 00:26:56,481 | INFO | rlopt.IPMD | iter=4070/33909 | frames=600145920/5000085504 | r_step=0.0575 | ep_len=277.3600 | r_ep=16.0580 | pi_loss=-0.0067 | fps=90684.0199
2026-07-22 00:28:45,360 | INFO | rlopt.IPMD | iter=4137/33909 | frames=610025472/5000085504 | r_step=0.0579 | ep_len=333.0300 | r_ep=19.2248 | pi_loss=-0.0066 | fps=90937.5536
2026-07-22 00:30:35,375 | INFO | rlopt.IPMD | iter=4205/33909 | frames=620052480/5000085504 | r_step=0.0577 | ep_len=289.1600 | r_ep=16.6272 | pi_loss=-0.0066 | fps=91537.6049
2026-07-22 00:32:25,097 | INFO | rlopt.IPMD | iter=4273/33909 | frames=630079488/5000085504 | r_step=0.0580 | ep_len=329.5100 | r_ep=18.9674 | pi_loss=-0.0066 | fps=91496.5552
2026-07-22 00:34:15,156 | INFO | rlopt.IPMD | iter=4341/33909 | frames=640106496/5000085504 | r_step=0.0580 | ep_len=309.0400 | r_ep=17.8713 | pi_loss=-0.0062 | fps=90797.4380
2026-07-22 00:36:05,426 | INFO | rlopt.IPMD | iter=4409/33909 | frames=650133504/5000085504 | r_step=0.0582 | ep_len=341.5500 | r_ep=20.1522 | pi_loss=-0.0065 | fps=91019.0580
2026-07-22 00:37:55,677 | INFO | rlopt.IPMD | iter=4476/33909 | frames=660013056/5000085504 | r_step=0.0580 | ep_len=302.6100 | r_ep=17.6711 | pi_loss=-0.0066 | fps=91247.6270
2026-07-22 00:39:45,671 | INFO | rlopt.IPMD | iter=4544/33909 | frames=670040064/5000085504 | r_step=0.0582 | ep_len=281.5700 | r_ep=16.0796 | pi_loss=-0.0066 | fps=91453.9299
2026-07-22 00:41:35,443 | INFO | rlopt.IPMD | iter=4612/33909 | frames=680067072/5000085504 | r_step=0.0583 | ep_len=320.0200 | r_ep=18.0898 | pi_loss=-0.0058 | fps=91883.4736
2026-07-22 00:43:25,230 | INFO | rlopt.IPMD | iter=4680/33909 | frames=690094080/5000085504 | r_step=0.0584 | ep_len=290.4100 | r_ep=16.8798 | pi_loss=-0.0069 | fps=91555.2590
2026-07-22 00:45:15,019 | INFO | rlopt.IPMD | iter=4748/33909 | frames=700121088/5000085504 | r_step=0.0583 | ep_len=329.1600 | r_ep=19.1206 | pi_loss=-0.0070 | fps=91111.8059
2026-07-22 00:47:03,223 | INFO | rlopt.IPMD | iter=4815/33909 | frames=710000640/5000085504 | r_step=0.0586 | ep_len=310.1700 | r_ep=18.2364 | pi_loss=-0.0066 | fps=91183.2889
